0.014258,0.017052
0.035246,0.016891
0.062070,0.051579
0.041552,0.045759
0.025768,0.032059
0.218142,0.183300
0.262741,0.348103
0.152618,0.288718
0.101485,0.163755
0.151385,0.169186
0.039850,0.043502
0.030217,-0.021538
0.093415,0.094005
0.155723,0.230189
0.188707,0.110831
0.101824,0.134609
0.023363,0.055309
0.024261,0.031532
0.056891,-0.005868
0.051924,0.026074
0.034569,0.043259
0.081717,0.101933
0.119078,0.058484
0.026629,0.049946
0.011769,0.093918
0.055285,0.034462
0.353169,0.148188
0.081248,0.126357
0.028500,0.041105
0.383440,0.211915
0.067307,0.027178
0.088100,0.053327
0.048573,0.190258
0.095446,0.041698
0.030725,0.014600
0.038317,0.108558
0.051794,0.137529
0.069667,0.058027
0.026726,0.032978
0.152521,0.085363
0.137690,0.131554
0.035280,0.016195
0.029390,0.019287
0.065938,0.048501
0.038123,0.006222
0.123459,0.090198
0.030203,0.043370
0.047819,0.070460
0.037978,0.043807
0.235792,0.501686
0.119711,0.132234
0.343903,0.202152
0.090039,0.055860
0.016468,-0.004216
0.028486,0.025643
0.014285,-0.001701
0.023091,0.068660
0.030333,0.053400
0.091742,0.058077
0.044618,0.063256
0.088497,0.090060
0.149373,0.120563
0.230347,0.103270
0.047935,0.086711
0.054686,0.103113
0.037224,0.041139
0.012217,-0.002797
0.028384,0.017921
0.065508,0.025274
0.040773,0.038842
0.043331,0.059150
0.033036,-0.026569
0.022965,0.054938
0.111191,0.126777
0.031653,0.036324
0.010851,0.011812
0.020958,0.069284
0.127206,0.138889
0.018454,0.050391
0.078661,0.091366
0.011877,0.016271
0.156728,0.175150
0.202774,0.106216
0.134281,0.190363
0.020265,0.031123
0.036373,0.130018
0.071915,0.155959
0.143343,0.093350
0.067263,0.043319
0.030140,0.014002
0.136810,0.112976
0.010630,0.063044
0.076577,0.025707
0.055082,0.103463
0.022513,0.099067
0.026561,0.038512
0.178769,0.119641
0.053187,0.080713
0.029622,0.034563
0.116171,0.039127
0.065672,0.066791
0.012856,0.015474
0.016000,-0.006149
0.186008,0.132538
0.171859,0.345495
0.093961,0.095357
0.040798,0.070048
0.063641,0.080107
0.201903,0.097048
0.064507,0.081552
0.269632,0.249928
0.087061,0.108519
0.091379,0.037808
0.011956,0.018403
0.053366,0.041140
0.206154,0.118679
